ID,predicted_price
PU-1,1.8505455699037576
PU-2,1.6386138376762809
PU-3,2.7236041463595213
PU-4,1.3034885702567036
PU-5,3.572301891030112
PU-6,1.6875786620581412
PU-7,1.639907895782818
PU-8,1.666768401066341
PU-9,1.2269469309566994
PU-10,1.6751655468733482
PU-11,1.0024956031609482
PU-12,3.5390409979587587
PU-13,0.8321723043107953
PU-14,2.508970396165718
PU-15,2.100325309953546
PU-16,1.003925493304496
PU-17,3.169531817284452
PU-18,2.6721842545308956
PU-19,1.8326044186612935
PU-20,3.1252725794350016
PU-21,1.9785208385078366
PU-22,1.4083752922514432
PU-23,2.9518852075178486
PU-24,1.570425932438982
PU-25,2.499391581953703
PU-26,1.587253328736759
PU-27,1.9372008754296481
PU-28,1.7052993465414503
PU-29,2.4250554364417485
PU-30,1.580183700871287
PU-31,4.069992986623132
PU-32,1.1872734349896592
PU-33,2.6521207238181836
PU-34,1.6767242052822013
PU-35,1.5138782755789082
PU-36,1.4041538574025265
PU-37,1.6410876980442295
PU-38,2.6880768470681486
PU-39,2.328879343315739
PU-40,2.1694609044154096
PU-41,1.8651523469692013
PU-42,1.159945810124782
PU-43,1.36837021083585
PU-44,1.9650248822660923
PU-45,1.7516863355951486
PU-46,1.1628993265218466
PU-47,1.501306993533222
PU-48,1.5173366808513098
PU-49,1.6705560430050368
PU-50,2.5527765800900277
PU-51,2.513225077747454
PU-52,1.9837498385860748
PU-53,1.7074998814058884
PU-54,2.22014233006438
PU-55,0.9310145803988304
PU-56,4.039273057505248
PU-57,2.8571017441845
PU-58,2.6379669113119237
PU-59,1.4795390079620692
PU-60,2.47320760597356
PU-61,1.3036507169600462
PU-62,1.1718999269085275
PU-63,1.774368634095099
PU-64,1.0595501631302353
PU-65,2.4604109800679983
PU-66,2.061323936700893
PU-67,1.6101842612753057
PU-68,1.2064785018014499
PU-69,1.148247169772413
PU-70,1.9063092428087585
PU-71,2.022934658997398
PU-72,2.1625518844382134
PU-73,1.1524429926779987
PU-74,2.4001808828183884
PU-75,1.650814622745153
PU-76,1.693041257280754
PU-77,1.85964603373777
PU-78,0.8270830366150206
PU-79,1.8685259543813124
PU-80,1.3199387781664327
PU-81,1.976015929264137
PU-82,2.0540787048610722
PU-83,1.3917083107177937
PU-84,1.9422224644924497
PU-85,3.5211857678763647
PU-86,1.181336047749196
PU-87,2.7261695987367784
PU-88,1.0951154982583629
PU-89,3.5585014410042413
PU-90,3.108697319880942
PU-91,1.6466786069430528
PU-92,0.809266192916319
PU-93,3.0311799520675144
PU-94,1.9293228663409066
PU-95,1.7341132273154407
PU-96,1.745539956609732
PU-97,1.3621047784462026
PU-98,2.117977984489271
PU-99,1.9767465100910253
PU-100,1.0503124329809965
PU-101,1.0479191507798942
PU-102,1.8384328811684205
PU-103,1.9566322875826885
PU-104,7.903004514385268
PU-105,2.2674947732186075
PU-106,1.352000859120519
PU-107,1.6858139940278367
PU-108,1.44268017846082
PU-109,2.0706822892154166
PU-110,1.882031974524967
PU-111,2.191612714100026
PU-112,2.5107131721954157
PU-113,1.6566361279979045
PU-114,1.3568432869684017
PU-115,1.8505161393965865
PU-116,1.553111722874676
PU-117,1.8765071688594448
PU-118,1.364825189855232
PU-119,0.9777786625418408
PU-120,1.3260496062213734
PU-121,0.8711846950463306
PU-122,2.333392863000296
PU-123,2.8417904016320183
PU-124,2.146320266771984
PU-125,1.976164684165561
PU-126,5.277716339909505
PU-127,2.05707713502534
PU-128,1.9101152342786332
PU-129,1.8923380017235854
PU-130,1.5072003749817662
PU-131,1.8996224254072667
PU-132,1.0069497062489854
PU-133,2.0824551314030235
PU-134,1.4912015089236104
PU-135,1.7959991929590473
PU-136,1.4845182211574524
PU-137,1.4693325725266078
PU-138,2.0707028678609776
PU-139,1.3216268253433365
PU-140,2.857835722852051
PU-141,3.555039350737151
PU-142,0.7103172564023795
PU-143,1.9198510068419627
PU-144,1.9561414009858518
PU-145,1.7802338422436483
PU-146,2.0311539839774158
PU-147,1.8748016539065229
PU-148,0.8818239423626053
PU-149,1.1697955449812418
PU-150,1.3696872159183908
PU-151,1.1980961900190645
PU-152,1.29627710449878
PU-153,2.349084670700953
PU-154,1.6597797590097985
PU-155,2.72335646580356
PU-156,1.7361855133411332
PU-157,1.0915545280993715
PU-158,1.9915857040680995
