裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址,lat,lng,TWD97_X,TWD97_Y
4,臺灣銀行,第一航廈入境大廳一樓北側,桃園市,桃園市大園區航站南路15號,25.0778637,121.2359584,273802.6511,2774422.707
4,臺灣銀行,第二航廈5樓出境大廳,桃園市,桃園市大園區航站南路15號,25.0778637,121.2359584,273802.6511,2774422.707
4,臺灣銀行,新明分行,桃園市,桃園市中壢區新明路7號,24.9567507,121.2142972,271638.7569,2761004.281
4,臺灣銀行,新明分行行內,桃園市,桃園市中壢區新明路7號,24.9567507,121.2142972,271638.7569,2761004.281
4,臺灣銀行,遠翔航空貨運公司,桃園市,桃園市大園區航翔路101號,25.097952,121.2548833,275707.5391,2776651.23
4,臺灣銀行,遠雄航空自由貿易港區,桃園市,桃園市大園區航翔路7號,25.0919333,121.2541428,275634.106,2775984.435
4,臺灣銀行,衛福部桃園醫院,桃園市,桃園市桃園區中山路1492號,24.9777031,121.2691911,277177.1148,2763334.881
4,臺灣銀行,龍潭分行,桃園市,桃園市龍潭區東龍路142號,24.8626679,121.215133,271739.6326,2750583.712
4,臺灣銀行,中華電信苗栗營運處,苗栗縣,苗栗縣苗栗市愛國路1號,24.5395265,120.8178076,231541.5319,2714788.446
4,臺灣銀行,法務部矯正署苗栗看守所,苗栗縣,苗栗縣苗栗市南勢里20鄰南勢100號,24.521743,120.78798,228516.5723,2712823.145
4,臺灣銀行,苗栗分行,苗栗縣,苗栗縣苗栗市中正路510號,24.5588812,120.8209135,231858.9846,2716931.673
4,臺灣銀行,苗栗地方法院,苗栗縣,苗栗縣苗栗市中正路1149號,24.5463934,120.8164877,231408.8204,2715549.169
4,臺灣銀行,苗栗縣政府,苗栗縣,苗栗縣苗栗市縣府路120號,24.564999,120.81916,231682.248,2717609.486
4,臺灣銀行,頭份分行,苗栗縣,苗栗縣頭份市中正路65號,24.6851158,120.9080225,240692.2672,2730904.276
4,臺灣銀行,頭份分行-無人銀行,苗栗縣,苗栗縣頭份市中正路65號,24.6851158,120.9080225,240692.2672,2730904.276
4,臺灣銀行,聯合大學,苗栗縣,苗栗縣苗栗市恭敬里聯大1號,24.5458044,120.81232,230986.5112,2715484.503
4,臺灣銀行,聯合大學八甲校區,苗栗縣,苗栗縣苗栗市南勢里聯大2號,24.5357034,120.7918641,228912.4708,2714368.735
