學校代碼,學校名稱,lat,lng,TWD97_X,TWD97_Y
10301,國立華僑中學,25.0075,121.4477778,295196.2426,2766682.938
11301,私立淡江高中附設國中部,25.1762507,121.437164,294064.4492,2785371.155
11302,私立康橋實驗高中附設國中部,25.079564,121.395793,289925.7823,2774648.717
11306,私立金陵女中附設國中部,25.04299,121.466942,297117.047,2770620.5
11307,私立裕德實驗高中附設國中部,24.9830118,121.4394801,294367.4987,2763967.789
11309,私立南山高中附設國中部,25.0016594,121.5036507,300838.2402,2766055.801
11310,私立恆毅高中附設國中部,25.0366541,121.4537324,295786.4588,2769914.173
11311,私立聖心女中附設國中部,25.13562,121.449122,295284.7817,2780874.608
11312,私立崇義高中附設國中部,25.079564,121.395793,289925.7823,2774648.717
11314,私立中華高中附設國中部,24.975578,121.4374135,294161.5181,2763143.72
11316,私立格致高中附設國中部,25.0738323,121.4886747,299297.6898,2774044.497
11317,私立醒吾高中附設國中部,25.079564,121.395793,289925.7823,2774648.717
11318,私立徐匯高中附設國中部,25.080107,121.480124,298432.6103,2774736.426
11322,私立崇光高中附設國中部,24.9718753,121.538946,304414.1038,2762770.472
11323,私立光仁高中附設國中部,25.0183052,121.4764718,298088.2916,2767889.645
11324,私立竹林高中附設國中部,24.9799565,121.5057743,301061.5642,2763652.688
11325,私立及人高中附設國中部,24.966799,121.51489,301987.4053,2762198.769
11329,私立辭修高中附設國中部,24.932696,121.407931,291199.1815,2758384.712
11330,私立林口康橋高中附設國中部,25.0741868,121.389928,289335.8601,2774051.394
11399,私立時雨高中附設國中部,25.1095045,121.8552909,336258.4488,2778179.787
14302,市立海山高中附設國中部,25.0096689,121.4712073,297560.2866,2766931.192
14311,市立三重高中附設國中部,25.054741,121.4914967,299590.0637,2771930.874
14315,市立永平高中附設國中部,25.0105828,121.5083843,301312.3481,2767045.982
14322,市立樹林高中附設國中部,24.9829633,121.4223883,292642.0005,2763956.936
14326,市立明德高中附設國中部,24.9038379,121.365725,286945.1235,2755176.197
14332,市立秀峰高中附設國中部,25.0657829,121.6608704,316673.6479,2773226.738
14338,市立金山高中附設國中部,25.224676,121.637008,314183.0117,2790815.517
14343,市立安康高中附設國中部,24.9694528,121.5153,302027.687,2762492.872
14347,市立雙溪高中附設國中部,25.0349452,121.8632655,337115.4837,2769925.898
14348,市立石碇高中附設國中部,25.0141303,121.6429468,314892.5037,2767496.622
14353,市立丹鳳高中附設國中部,25.021049,121.416544,292039.0229,2768173.626
14356,市立清水高中附設國中部,24.9823337,121.4654721,296991.8024,2763901.432
14357,市立三民高中附設國中部,25.0868693,121.4737065,297782.6086,2775483.172
14362,市立錦和高中附設國中部,24.992544,121.491084,299573.4007,2765041.485
14363,市立光復高中附設國中部,25.0167462,121.4822165,298668.7034,2767719.015
14364,市立竹圍高中附設國中部,25.1459534,121.461587,296537.722,2782023.442
14381,市立北大高中附設國中部,24.948248,121.3764596,288015.9092,2760098.118
14399,市立豐珠中學附設國中,25.0656443,121.9018436,340986.0881,2773351.86
14468,市立樟樹國際實創高中附設國中部,25.0659397,121.6398933,314557.1781,2773233.928
14501,市立板橋國中,25.0250509,121.4531667,295733.6739,2768628.759
14503,市立重慶國中,25.0759168,121.5180299,302258.2195,2774286.414
14504,市立江翠國中,25.0288652,121.4684587,297275.5061,2769056.499
14505,市立中山國中,25.0606103,121.5455307,305039.359,2772601.887
14506,市立新埔國中,25.0248193,121.4597107,296394.1919,2768605.331
14507,市立新莊國中,25.0358171,121.4519927,295611.2116,2769820.875
14508,市立新泰國中,25.0425875,121.444305,294832.9637,2770568.228
14509,市立福營國中,25.0252883,121.4226136,292650.1294,2768645.085
14510,市立頭前國中,25.0545816,121.4589197,296303.1868,2771901.673
14512,市立光榮國中,25.0704534,121.4999178,300433.3003,2773674.378
14513,市立明志國中,25.0634787,121.4890227,299336.9442,2772897.803
14514,市立碧華國中,25.0824108,121.4949227,299924.5215,2774996.993
14516,市立永和國中,25.0064786,121.5236378,302853.7013,2766597.243
14517,市立福和國中,25.0040606,121.5209434,302582.7649,2766328.366
44531,縣立北平華德福實驗學校(國中),24.8524659,121.0863555,258727.1058,2749439.346
114539,市立後壁國中,23.354092,120.359707,184533.6198,2583638.663
114540,市立菁寮國中,23.3684606,120.33256,181765.2563,2585242.445
114543,市立大橋國中,23.0216463,120.2315349,171233.8042,2546886.669
114544,市立沙崙國中,22.9296124,120.2819192,176348.4325,2536668.754
121302,私立光禾華德福實驗學校(國中部),22.6080409,120.4270968,191101.4884,2500994.614
121307,私立普門高中附設國中部,22.716617,120.446001,193089.8104,2513010.105
121318,私立正義高中附設國中部,22.6025542,120.3397998,182123.7836,2500424.186
121320,私立義大國際高中附設國中部,22.7283202,120.4055464,188939.1567,2514322.124
123501,市立巴楠花部落國中(小),22.9648377,120.5395018,202780.7033,2540463.546
124302,市立文山高中附設國中部,22.6484436,120.3535462,183559.1727,2505499.45
124311,市立林園高中附設國中部,22.5137204,120.3945114,187709.0446,2490563.633
124313,市立仁武高中附設國中部,22.7022904,120.3554411,183779.7916,2511461.244
124322,市立路竹高中附設國中部,22.8552779,120.2523546,173274.168,2528452.208
124333,市立六龜高中附設國中部,22.993343,120.635442,212626.3181,2543592.421
124340,市立福誠高中附設國中部,22.5903287,120.3241829,180511.9976,2499077.617
124501,市立鳳山國中,22.624954,120.3721174,185456.9556,2502890.212
124503,市立鳳西國中,22.624954,120.3721174,185456.9556,2502890.212
124504,市立五甲國中,22.5981673,120.328659,180976.1561,2499943.528
124505,市立鳳甲國中,22.616882,120.3425688,182415.4768,2502009.484
124506,市立忠孝國中,25.051247,121.5082165,301278.5069,2771550.092
124507,市立大寮國中,22.6034583,120.3928667,187580.2336,2500501.106
124508,市立潮寮國中,22.5644496,120.4247143,190837.9298,2496168.643
124509,市立大樹國中,22.6577132,120.4230721,190709.0247,2506496.514
124510,市立溪埔國中,22.7190601,120.4435042,192834.3328,2513281.596
124512,市立鳥松國中,22.6663324,120.3720353,185467.8523,2507472.19
124514,市立大社國中,22.7306201,120.3567142,183924.1923,2514597.735
124515,市立岡山國中,22.790828,120.3031924,178457.829,2521289.724
124516,市立前峰國中,22.7889384,120.2879124,176887.9472,2521087.95
124517,市立永安國中,22.8233569,120.2403399,172022.9371,2524923.655
124518,市立橋頭國中,22.7590798,120.307403,178873.6997,2517772.04
124519,市立梓官國中,22.7624247,120.2634947,174366.2057,2518164.198
124520,市立燕巢國中,22.785835,120.3625064,184545.4794,2520709.355
124521,市立阿蓮國中,22.8850916,120.3258285,180829.6578,2531717.333
124523,市立湖內國中,22.907885,120.22751,170754.9684,2534290.97
124524,市立茄萣國中,22.9070887,120.1810957,165992.8971,2534228.53
124525,市立田寮國中,22.863157,120.3601662,184342.2851,2529272.671
124526,市立彌陀國中,22.7763249,120.2465854,172637.5065,2519712.194
124527,市立旗山國中,22.8814503,120.4810926,196758.7658,2531249.612
124528,市立圓富國中,22.9284154,120.5010606,198825.1978,2536443.195
124529,市立大洲國中,22.835638,120.460497,194627.0049,2526184.203
124530,市立美濃國中,22.8945406,120.5431778,203133.4634,2532678.06
124531,市立南隆國中,22.866394,120.5345598,202239.4631,2529564.048
124532,市立龍肚國中,22.8790179,120.5707985,205962.171,2530950.652
124534,市立寶來國中,23.1094321,120.7036045,219640.2747,2556431.767
124535,市立杉林國中,22.9687263,120.541032,202938.9576,2540893.659
124536,市立內門國中,22.9222431,120.4537867,193973.8109,2535776.932
124537,市立甲仙國中,23.0810133,120.5919626,208195.9121,2553312.368
124538,市立中芸國中,22.4858765,120.3953694,187784.8642,2487480.11
124539,市立中庄國中,22.6364684,120.401749,188508.1323,2504152.686
124541,市立蚵寮國中,22.7285495,120.2585692,173841.6031,2514415.521
124542,市立那瑪夏國中,23.239841,120.697256,219020.0239,2570874.121
50314,國立卓蘭高中附設國中部,24.312708,120.831961,232944.9925,2689665.648
51302,私立君毅高中附設國中部,24.7010062,120.8830877,238170.4694,2732666.177
51306,私立建台高中附設國中部,24.5602456,120.8149378,231253.8626,2717083.588
51307,私立全人實驗高中附設國中部,24.3058986,120.8622756,236021.011,2688908.114
54308,縣立三義高中附設國中部,24.4090224,120.7655713,226224.7951,2700342.5
54309,縣立苑裡高中附設國中部,24.438008,120.663488,215879.4772,2703574.105
54317,縣立興華高中附設國中部,24.6858788,120.9363403,243557.9486,2730987.158
