縣市名稱,學校代碼,學校名稱,lat,lng,TWD97_X,TWD97_Y
臺北市,400144,國立臺灣戲曲學院附設高職部,25.0819234,121.586525,309165.1806,2774979.975
臺東縣,140222,國立臺東專科學校附設高職部,22.7579117,121.1243815,262773.2636,2517481.749
新北市,10301,國立華僑高級中等學校,25.0075,121.4477778,295196.2426,2766682.938
新北市,11301,私立淡江高中,25.1762507,121.437164,294064.4492,2785371.155
新北市,11302,私立康橋高中,24.9120394,121.4958652,300088.6125,2756126.246
新北市,11306,私立金陵女中,25.04299,121.466942,297117.047,2770620.5
新北市,11307,新北市裕德高級中等學校,24.9830118,121.4394801,294367.4987,2763967.789
新北市,11309,財團法人南山高中,25.0016594,121.5036507,300838.2402,2766055.801
新北市,11310,財團法人恆毅高中,25.0366541,121.4537324,295786.4588,2769914.173
新北市,11311,私立聖心女中,25.13562,121.449122,295284.7817,2780874.608
新北市,11312,私立崇義高中,25.077429,121.669969,317585.2186,2774521.268
新北市,11314,財團法人中華高中,24.975578,121.4374135,294161.5181,2763143.72
新北市,11315,私立東海高中,25.0647366,121.4788449,298309.6086,2773033.46
新北市,11316,私立格致高中,25.0738323,121.4886747,299297.6898,2774044.497
新北市,11317,私立醒吾高中,25.079564,121.395793,289925.7823,2774648.717
新北市,11318,私立徐匯高中,25.080107,121.480124,298432.6103,2774736.426
新北市,11322,新北市崇光高中,24.9718753,121.538946,304414.1038,2762770.472
新北市,11323,私立光仁高中,25.0183052,121.4764718,298088.2916,2767889.645
新北市,11324,私立竹林高中,24.9799565,121.5057743,301061.5642,2763652.688
新北市,11325,私立及人高中,24.966799,121.51489,301987.4053,2762198.769
新北市,11329,財團法人辭修高中,24.932696,121.407931,291199.1815,2758384.712
新北市,11330,新北市林口康橋國際高中,25.0741868,121.389928,289335.8601,2774051.394
新北市,11399,私立時雨高中,25.1095045,121.8552909,336258.4488,2778179.787
新北市,13303,市立泰山高中,25.057789,121.429729,293356.795,2772247.266
新北市,13304,市立板橋高中,25.012041,121.4590137,296328.6448,2767189.712
新北市,13335,市立新店高中,24.975506,121.532082,303719.4977,2763169.89
新北市,13336,市立中和高中,24.994112,121.478471,298299.5254,2765210.611
新北市,13337,市立新莊高中,22.6813675,120.3175826,179879.5411,2509161.747
新北市,13338,市立新北高中,25.0874536,121.489796,299405.3414,2775553.678
新北市,13339,市立林口高中,25.0732029,121.3805242,288387.5042,2773939.71
新北市,14302,市立海山高中,25.0096689,121.4712073,297560.2866,2766931.192
新北市,14311,市立三重高中,25.054741,121.4914967,299590.0637,2771930.874
新北市,14315,市立永平高中,25.0105828,121.5083843,301312.3481,2767045.982
新北市,14322,市立樹林高中,24.9829633,121.4223883,292642.0005,2763956.936
新北市,14326,市立明德高中,24.9038379,121.365725,286945.1235,2755176.197
新北市,14332,市立秀峰高中,25.0657829,121.6608704,316673.6479,2773226.738
新北市,14338,市立金山高中,25.224676,121.637008,314183.0117,2790815.517
新北市,14343,市立安康高中,24.9694528,121.5153,302027.687,2762492.872
新北市,14347,市立雙溪高中,25.0349052,121.8632554,337114.4927,2769921.46
新北市,14348,市立石碇高中,25.0141303,121.6429468,314892.5037,2767496.622
新北市,14353,市立丹鳳高中,25.021049,121.416544,292039.0229,2768173.626
新北市,14356,市立清水高中,24.2652825,120.5740941,206756.677,2684468.966
新北市,14357,市立三民高中,25.0868693,121.4737065,297782.6086,2775483.172
新北市,14362,市立錦和高中,24.992544,121.491084,299573.4007,2765041.485
新北市,14363,市立光復高中,25.0167462,121.4822165,298668.7034,2767719.015
新北市,14364,市立竹圍高中,25.1459534,121.461587,296537.722,2782023.442
新北市,14381,市立北大高級中學,24.948248,121.3764596,288015.9092,2760098.118
新北市,14399,市立豐珠中學,25.0656443,121.9018436,340986.0881,2773351.86
宜蘭縣,20301,國立蘭陽女中,24.7453914,121.753373,326202.8643,2737786.852
宜蘭縣,20302,國立宜蘭高中,24.751424,121.7417203,325020.5415,2738448.61
宜蘭縣,20308,國立羅東高中,24.6807286,121.761905,327105.7208,2730629.32
宜蘭縣,21301,私立慧燈高中,24.777028,121.7155386,322357.4919,2741270.509
宜蘭縣,21310,私立中道高中,24.7597787,121.7937987,330282.8021,2739403.574
宜蘭縣,24322,縣立南澳高中,24.465902,121.801868,331288.6894,2706857.606
宜蘭縣,24325,縣立慈心華德福實中,24.6268113,121.795708,330561.3658,2724676.66
