銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng,TWD97_X,TWD97_Y
12,7820,台北富邦商業銀行,竹南分行,苗栗縣竹南鎮華東街52號,24.7009219,120.8786026,237716.6451,2732657.234
12,7831,台北富邦商業銀行,虎尾分行,雲林縣虎尾鎮光復路391號,23.709779,120.4378037,192673.0805,2622995.679
13,17,國泰世華商業銀行,館前分行,台北市中正區館前路65號,25.0442286,121.5151745,301983.5333,2770775.351
13,28,國泰世華商業銀行,環球交易服務部,台北市中正區館前路65號,25.0442286,121.5151745,301983.5333,2770775.351
13,39,國泰世華商業銀行,南京東路分行,台北市中山區南京東路二段132號,25.051731,121.533697,303849.2978,2771613.601
13,51,國泰世華商業銀行,高雄分行,高雄市三民區博愛一路366號,22.6506979,120.3038248,178449.9339,2505772.136
13,62,國泰世華商業銀行,台中分行,台中市西區自由路一段148號,24.1372682,120.6794918,217425.551,2670262.579
13,73,國泰世華商業銀行,台北分行,台北市中正區博愛路77號,25.0436045,121.5117079,301633.9923,2770704.895
13,95,國泰世華商業銀行,永和分行,新北市永和區永和路一段15號,25.005616,121.512877,301767.8959,2766497.544
13,109,國泰世華商業銀行,台南分行,台南市中西區民生路一段62號,22.9933859,120.2032157,168314.0007,2543772.605
13,110,國泰世華商業銀行,忠孝分行,台北市大安區忠孝東路四段293號,25.0416415,121.5549798,306001.3288,2770504.668
13,121,國泰世華商業銀行,天母分行,台北市士林區天母西路24號,25.1183093,121.5269048,303135.2081,2778985.534
13,132,國泰世華商業銀行,西台中分行,台中市西區民權路185號,24.1455852,120.6709432,216558.8821,2671185.705
13,143,國泰世華商業銀行,東高雄分行,高雄市苓雅區中正二路72號,22.6304453,120.3186557,179963.9785,2503522.438
13,154,國泰世華商業銀行,信義分行,台北市大安區敦化南路二段32號,25.031952,121.548333,305334.954,2769428.671
13,165,國泰世華商業銀行,光復分行,台北市松山區南京東路五段99號,25.0516772,121.5604827,306552.0173,2771618.57
13,176,國泰世華商業銀行,板橋分行,新北市板橋區中正路102號,25.0152769,121.456701,296094.0108,2767547.346
13,187,國泰世華商業銀行,復興分行,台北市松山區南京東路三段248號,25.051462,121.5445486,304944.3504,2771588.168
13,198,國泰世華商業銀行,民權分行,台北市松山區民權東路三段144號,25.061756,121.547273,305214.632,2772729.501
13,202,國泰世華商業銀行,大安分行,台北市大安區仁愛路四段33號,25.0382532,121.5459167,305088.2944,2770125.642
13,213,國泰世華商業銀行,三重分行,新北市三重區重陽路二段29號,25.0627853,121.4873505,299168.5119,2772820.389
13,224,國泰世華商業銀行,中壢分行,桃園市中壢區中央西路一段11號,24.957177,121.223057,272523.207,2761052.923
13,235,國泰世華商業銀行,員林分行,彰化縣員林市中山路二段320號,23.967698,120.571488,206391.3541,2651512.023
13,246,國泰世華商業銀行,新店分行,新北市新店區中正路542號,24.9851,121.5337539,303884.1166,2764233.228
13,2169,國泰世華商業銀行,福和分行,新北市永和區福和路353之1號,25.0072699,121.5146893,301950.1303,2766681.431
13,2170,國泰世華商業銀行,四維分行,高雄市苓雅區四維四路7號,22.616279,120.3017291,178216.6626,2501961.814
13,2181,國泰世華商業銀行,營業部,台北市信義區松仁路7號,25.0382555,121.5691563,307433.4434,2770135.555
13,2206,國泰世華商業銀行,重新分行,新北市三重區重新路4段87號,25.0557679,121.486197,299054.9279,2772042.686
13,2217,國泰世華商業銀行,北中壢分行,桃園市中壢區慈惠三街129號,24.9634057,121.2254093,272759.5862,2761743.217
13,2228,國泰世華商業銀行,城東分行,台北市松山區南京東路4段126號,25.0514056,121.5553512,306034.3682,2771586.351
13,2239,國泰世華商業銀行,建國分行,台北市中山區南京東路3段132號,25.0515352,121.540962,304582.427,2771594.824
13,2251,國泰世華商業銀行,學府分行,新北市土城區學府路1段122號,24.9875371,121.4552838,295961.2925,2764474.29
13,2262,國泰世華商業銀行,北新分行,新北市新店區中正路190號,24.9723524,121.5407883,304599.9027,2762824.057
13,2273,國泰世華商業銀行,信安分行,台北市大安區信義路3段149號,25.0336308,121.5422027,304715.5589,2769612.133
13,2295,國泰世華商業銀行,文德分行,台北市內湖區成功路3段174巷12號,25.0811869,121.5903814,309554.5567,2774900.089
13,2321,國泰世華商業銀行,公益分行,台中市南屯區公益路2段53號,24.1505299,120.6511814,214551.8936,2671738.193
13,2332,國泰世華商業銀行,水湳分行,台中市西屯區中清路2段215號,24.1777874,120.6687785,216347.327,2674752.64
13,2343,國泰世華商業銀行,市政分行,台中市西屯區市政北三路31號,24.1592376,120.6459469,214022.3804,2672703.913
13,2354,國泰世華商業銀行,東台中分行,台中市東區建成路735號,24.130386,120.687901,218278.5177,2669498.445
13,2365,國泰世華商業銀行,昌平分行,台中市北屯區昌平路二段36之1號,24.1815903,120.688604,218362.5831,2675169.188
13,2376,國泰世華商業銀行,健行分行,台中市北區健行路590號,24.15946,120.677151,217193.3107,2672720.878
13,2398,國泰世華商業銀行,西屯分行,台中市西屯區朝富路217、219號,24.1625568,120.635368,212948.3381,2673074.277
13,2402,國泰世華商業銀行,南屯分行,台中市西區五權路1之128號,24.1491606,120.6747378,216945.439,2671580.781
13,2413,國泰世華商業銀行,崇德分行,台中市北屯區崇德路二段128號,24.1710339,120.68562,218056.7834,2674000.736
13,2457,國泰世華商業銀行,香山分行,新竹市中華路四段582號,24.7888348,120.929562,242877.8837,2742390.691
13,2468,國泰世華商業銀行,竹北分行,新竹縣竹北市光明六路87之1號,24.826786,121.009782,250988.7748,2746592.326
13,2480,國泰世華商業銀行,同德分行,桃園市桃園區中正路1125號,25.0175634,121.2975485,280030.3605,2767755.896
13,2549,國泰世華商業銀行,彰美分行,彰化縣彰化市辭修路136號,24.086323,120.537975,203023.9043,2664660.504
13,2550,國泰世華商業銀行,太平分行,台中市太平區中興東路142號,24.1308029,120.7213873,221682.1482,2669537.444
13,2561,國泰世華商業銀行,沙鹿分行,台中市沙鹿區中山路476號,24.2458433,120.5625727,205580.1121,2682319.638
13,2583,國泰世華商業銀行,大里分行,台中市大里區國光路二段259號,24.105897,120.680342,217504.0389,2666788.02
13,2608,國泰世華商業銀行,逢甲分行,台中市西屯區河南路二段363號,24.1715645,120.6447565,213904.8804,2674069.435
13,2619,國泰世華商業銀行,大雅分行,台中市大雅區民生路一段125號,24.2269673,120.6491126,214362.8966,2680204.257
13,2620,國泰世華商業銀行,潭子分行,台中市潭子區潭興路三段46號,24.2117376,120.7034021,219873.1437,2678504.763
13,2631,國泰世華商業銀行,光華分行,台北市中山區松江路136號,25.0530242,121.5327761,303755.8145,2771756.477
13,2642,國泰世華商業銀行,西松分行,台北市松山區南京東路五段230號,25.051002,121.5657026,307079.0225,2771545.973
13,2653,國泰世華商業銀行,蘭雅分行,台北市士林區德行西路45號,25.106097,121.5231511,302761.905,2777631.348
13,2664,國泰世華商業銀行,永平分行,台北市松山區復興北路199號,25.055703,121.544376,304925.0448,2772057.856
13,2675,國泰世華商業銀行,和平分行,台北市大安區和平東路一段197號,25.0263711,121.5340017,303891.1229,2768804.721
13,2686,國泰世華商業銀行,慶城分行,台北市松山區民生東路三段158號,25.0573498,121.5478158,305271.373,2772241.666
13,2697,國泰世華商業銀行,瑞湖分行,台北市內湖區陽光街292號,25.0729699,121.5754732,308054.5379,2773983.434
13,2701,國泰世華商業銀行,文昌分行,台北市信義區光復南路557號,25.0312335,121.5575852,306268.9852,2769352.899
13,2712,國泰世華商業銀行,正義分行,新北市三重區重新路二段9號,25.0626877,121.4986686,300310.4468,2772813.741
13,2723,國泰世華商業銀行,新板分行,新北市板橋區中山路一段156號,25.0114468,121.4651835,296951.6028,2767126.019
13,2734,國泰世華商業銀行,永貞分行,新北市永和區中山路一段225號,25.007732,121.508193,301294.2236,2766730.141
13,2778,國泰世華商業銀行,明誠分行,高雄市鼓山區明誠四路152號,22.6615141,120.2893588,176968.8461,2506976.889
808,15,玉山商業銀行,營業部,台北市松山區民生東路三段115號,25.0581389,121.546428,305130.9964,2772328.505
808,26,玉山商業銀行,南京東路分行,台北市松山區南京東路五段89號,25.0518161,121.5601021,306513.5508,2771633.796
